service,corridorID,corridorName
BRT,1 , BLOK M - KOTA
BRT,2 , PULO GADUNG - MONUMEN NASIONAL
BRT,2A , PULO GADUNG - RAWA BUAYA
BRT,3 , KALIDERES - MONUMEN NASIONAL VIA VETERAN
BRT,3F , KALIDERES - SENAYAN BANK DKI
BRT,3H , STASIUN PESING - KOTA
BRT,4 , PULO GADUNG - GALUNGGUNG
BRT,4D , PULO GADUNG - KUNINGAN
BRT,5 , KAMPUNG MELAYU - ANCOL
BRT,5C , CILILITAN - JUANDA
BRT,5D , CILILITAN - ANCOL
BRT,6 , RAGUNAN - GALUNGGUNG
BRT,6A , RAGUNAN - BALAI KOTA VIA KUNINGAN
BRT,6B , RAGUNAN - BALAI KOTA VIA SEMANGGI
BRT,6V , RAGUNAN - SENAYAN BANK DKI
BRT,7 , KAMPUNG MELAYU - KAMPUNG RAMBUTAN
BRT,7F , KAMPUNG RAMBUTAN - JUANDA VIA CEMPAKA PUTIH
BRT,8A , GROGOL 2 - JUANDA 
BRT,8 , LEBAK BULUS - PASAR BARU
BRT,9 , PINANG RANTI - PLUIT
BRT,9A , CILILITAN - GROGOL
BRT,9C , PINANG RANTI - BUNDARAN SENAYAN
BRT,9N , PINANG RANTI - SIMPANG CAWANG
BRT,10 , TANJUNG PRIOK - PGC
BRT,10D , TANJUNG PRIOK - KP RAMBUTAN
BRT,10H , TANJUNG PRIOK - BUNDARAN SENAYAN
BRT,11 , PULOGEBANG - KAMPUNG MELAYU
BRT,13C , PURI BETA - DUKUH ATAS
BRT,12 , PLUIT - TANJUNG PRIOK
BRT,13 , PURI BETA - TEGAL MAMPANG
BRT,13D , PURI BETA 2 - RAGUNAN
BRT,13B , PURIBETA - PANCORAN
BRT,14 , JAKARTA INTERNATIONAL STADIUM - SENEN
BRT,L13E , PURI BETA - FLYOVER KUNINGAN
nonBRT,1A , PANTAI MAJU - BALAIKOTA
nonBRT,M7B,BKN - BLOK M
nonBRT,JIS3 , JAKARTA INTERNATIONAL STADIUM - HARMONI
nonBRT,R1A , PANTAI MAJU - KOTA
nonBRT,1B , STASIUN PAL MERAH - TRANSPORT HUB DUKUH ATAS
nonBRT,1C , PESANGGRAHAN - BLOK M
nonBRT,1E , PONDOK LABU - BLOK M
nonBRT,1F , STASIUN PAL MERAH - BUNDARAN SENAYAN
nonBRT,1H , STASIUN TANAH ABANG - STASIUN GONDANGDIA
nonBRT,1M , MERUYA - BLOK M
nonBRT,1N , TANAH ABANG - BLOK M
nonBRT,1P , SENEN - BLOK M
nonBRT,1Q , REMPOA - BLOK M
nonBRT,1R , SENEN - TANAH ABANG
nonBRT,2B , HARAPAN INDAH - PULO GADUNG
nonBRT,2P , SENEN - TRANSPORT HUB DUKUH ATAS
nonBRT,2Q , GONDANGDIA - BALAIKOTA
nonBRT,3D , TAMAN KOTA - PENJARINGAN VIA TUBAGUS ANGKE
nonBRT,3E , SENTRALAND CENGKARENG - PURI KEMBANGAN
nonBRT,4B , STASIUN MANGGARAI - UNIVERSITAS INDONESIA
nonBRT,4C , PEMUDA MERDEKA - BUNDARAN SENAYAN
nonBRT,4F , PINANG RANTI - PULO GADUNG
nonBRT,4K , PULO GADUNG - KEJAKSAAN AGUNG
nonBRT,5B , STASIUN TEBET - BIDARA CINA
nonBRT,5F , KAMPUNG MELAYU - TANAH ABANG
nonBRT,5M , KAMPUNG MELAYU - TANAH ABANG VIA CIKINI
nonBRT,5N , RAGUNAN- KAMPUNG MELAYU
nonBRT,6C , ST. TEBET - KUNINGAN
nonBRT,6D , STASIUN TEBET - BUNDARAN SENAYAN
nonBRT,6H , SENEN - LEBAK BULUS
nonBRT,6K , PATRA KUNINGAN - KARET
nonBRT,6M , ST. MANGGARAI - BLOK M
nonBRT,6N , RAGUNAN - BLOK M VIA KEMANG
nonBRT,6Q , DUKUH ATAS - CASABLANCA VIA EPICENTRUM
nonBRT,6T , PASAR MINGGU - VELBAK VIA KEBON JERUK
nonBRT,6U , BLOK M - PASAR MINGGU
nonBRT,6W , DUREN TIGA - BLOK M VIA BANGKA RAYA
nonBRT,7A , KP. RAMBUTAN - LEBAK BULUS
nonBRT,7B , KAMPUNG RAMBUTAN - BLOK M
nonBRT,7C , CIBUBUR - CAWANG SENTRAL
nonBRT,7D , TMII - PANCORAN
nonBRT,7E , KAMPUNG RAMBUTAN - RAGUNAN
nonBRT,7P , PONDOK KELAPA - CAWANG SENTRAL
nonBRT,7Q , BLOK M - PGC
nonBRT,7R , CIBUBUR - PLUIT
nonBRT,7T , CIBUBUR - TANJUNG PRIOK
nonBRT,7U , CIBUBUR - ANCOL
nonBRT,7V , CIBUBUR - KAMPUNG RAMBUTAN
nonBRT,7W , CAWANG - ST. KERETA CEPAT HALIM
nonBRT,8C , KEBAYORAN LAMA - TANAH ABANG
nonBRT,8D , JOGLO - BLOK M
nonBRT,8E , BINTARO - BLOK M
nonBRT,8K , BATUSARI - GROGOL
nonBRT,8M , TANAH ABANG - TANJUNG DUREN
nonBRT,8N , KEBAYORAN - PETAMBURAN VIA ASIA AFRIKA
nonBRT,9D , PASAR MINGGU - TANAH ABANG
nonBRT,9E , KEBAYORAN - JELAMBAR
nonBRT,9H , PASAR MINGGU - CIPEDAK
nonBRT,10K , TANJUNG PRIOK - SENEN VIA TAMAN BMW
nonBRT,10M , PULO GADUNG - WALIKOTA JAKARTA UTARA
nonBRT,11D , PULO GEBANG - PULO GADUNG VIA PIK
nonBRT,11Q , KAMPUNG MELAYU - PULO GEBANG VIA BKT
nonBRT,11W , STASIUN KLENDER - PULO GADUNG
nonBRT,12A , KOTA - KALIADEM
nonBRT,12B , PLUIT - SENEN
nonBRT,12P , ST. LRT PEGANGSAAN - JIS
nonBRT,14A , JUANDA - JAKARTA INTERNATIONAL STADIUM
nonBRT,M1H,TANAH ABANG-ST. GONDANGDIA
nonBRT,14B , TANJUNG PRIOK - SENEN VIA TAMAN BMW
royaltrans,1K , CIBUBUR JUNCTION - BLOK M
royaltrans,1T , CIBUBUR - BALAI KOTA
royaltrans,6P , CIBUBUR - KUNINGAN
royaltrans,B13 , SUMMARECON BEKASI - BLOK M
royaltrans,B14 , BEKASI BARAT - KUNINGAN
royaltrans,D31 , CINERE - KUNINGAN
royaltrans,D32 , CINERE - BUNDARAN SENAYAN
royaltrans,S12 , TERMINAL BSD - FATMAWATI
royaltrans,S13 , SUMMARECON SERPONG - TOMANG
royaltrans,S14 , SUMMARECON SERPONG - LEBAK BULUS
royaltrans,S31 , BINTARO - FATMAWATI
royaltrans,T21 , TAMAN BANJAR WIJAYA - PETAMBURAN
khusus,SH1 , KALIDERES - PERKANTORAN SOEKARNO HATTA
wisata,BW1 , SEJARAH JAKARTA
wisata,BW2 , MONAS EXPLORER
wisata,BW4 , PENCAKAR LANGIT
wisata,BW9 , KOTA TUA - PANTAI INDAH KAPUK
mikroTrans,JAK01,
mikroTrans,JAK02 , KAMPUNG MELAYU - DUREN SAWIT
mikroTrans,JAK03 , LEBAK BULUS - ANDARA
mikroTrans,JAK04 , GROGOL - TUBAGUS ANGKE
mikroTrans,JAK05 , SEMPER - ROROTAN
mikroTrans,JAK06 , KP RAMBUTAN - PONDOK GEDE
mikroTrans,JAK07 , TANAH ABANG - GROGOL VIA TAWAKAL
mikroTrans,JAK08 , ROXY - BENHIL
mikroTrans,JAK09 , ROXY MAS - KARET
mikroTrans,JAK10 , TANAH ABANG - KOTA
mikroTrans,JAK100 , TERMINAL PULO GEBANG - RUSUN PINUS ELOK
mikroTrans,JAK102 , BLOK M - LEBAK BULUS
mikroTrans,JAK105 , ST TEBET - RUSUN CIPINANG MUARA
mikroTrans,JAK106 , TERMINAL KLENDER - TERMINAL KP MELAYU
mikroTrans,JAK108 , KRAMAT JATI - BAMBU APUS
mikroTrans,JAK10A , GONDANGDIA - CIKINI VIA SALEMBA RAYA
mikroTrans,JAK10B , GONDANGDIA - CIKINI VIA KRAMAT RAYA
mikroTrans,JAK11 , TANAH ABANG - KEBAYORAN LAMA
mikroTrans,JAK110A , RUSUN MARUNDA - PULOGEBANG
mikroTrans,JAK110B , RUSUN KOMARUDIN - PUTARAN BALIK BEBEK TNI
mikroTrans,JAK112 , TERMINAL TANAH MERAH - PULOGADUNG
mikroTrans,JAK113 , RUSUN SINDANG KOJA - KP SAWAH
mikroTrans,JAK115 , TERMINAL TJ PRIOK - PEGANGSAAN II IGI
mikroTrans,JAK117 , TJ PRIOK - TANAH MERDEKA
mikroTrans,JAK118 , TAMAN WADUK PAPANGGO - KOTA TUA
mikroTrans,JAK12 , TANAH ABANG - KEBAYORAN LAMA VIA POS PENGUMBEN
mikroTrans,JAK120 , JAKARTA INTERNATIONAL STADIUM - TERM.MUARA ANGKE
mikroTrans,JAK13 , TANAH ABANG - KOTA INTAN VIA J.LIMA
mikroTrans,JAK14 , TANAH ABANG - MERUYA
mikroTrans,JAK15 , BULAK TURI - TJ PRIOK
mikroTrans,JAK16 , CILILITAN - CONDET
mikroTrans,JAK17 , SENEN - PULOGADUNG
mikroTrans,JAK18 , ST. DUREN KALIBATA - KUNINGAN
mikroTrans,JAK19 , PINANG RANTI - KP RAMBUTAN
mikroTrans,JAK20 , CAWANG UKI - LUBANG BUAYA
mikroTrans,JAK21 , CILILITAN - DWIKORA
